scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by,Source_original
Cygnus buccinator,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,species,ICZN,,BE,present,,,,,occurrences in 2005 acc. to http://observations.be,North America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Cygnus melancoryphus (Molina, 1782)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,species,ICZN,,BE,present,,,,,"10 occurrences in GBIF starting 1975 to 2015, waarnemimgen.be data set",South America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Dendrocygna arcuata (Horsfield, 1824)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Dendrocygna autumnalis Linnaeus, 1758",Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,species,ICZN,,BE,present,,,,,,South America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Dendrocygna bicolor (Vieillot, 1816)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,species,ICZN,,BE,present,,,,,,Central America | South America | Caribbean | Africa | India,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Dendrocygna eytoni (Eyton, 1838)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF in 2000, http://waarnemingen.be",Australia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Dendrocygna viduata (Linnaeus, 1766)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,species,ICZN,,BE,present,,,,,,South America | Africa,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Lophodytes cucullatus (Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,species,ICZN,,BE,present,,,,,"1 occurrence in 2011, http://observations.be; NT in IUCN red list",North America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Marmaronetta angustirostris (Ménétriés, 1832)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Marmaronetta,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Netta peposaca (Vieillot, 1816)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Nettapus auritus (Boddaert, 1783)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Nettapus,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Nettapus coromandelianus (Gmelin, JF, 1789)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Nettapus,species,ICZN,Flanders,BE,present,2017,,,,"1 occurrence in 2017, http://observations.be",Southeastern Asia | Australia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,observations.be Natagora
"Oxyura jamaicensis (Gmelin, 1789)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,species,ICZN,Flanders,BE,present,1979,2018,established,escape | release | unaided,"introduced into UK in the 1940's, escaped or released from captivity (Hughes et al 1999)",North America,freshwater,"Spanoghe et al. 2010. Broedende Rosse Stekelstaarten Oxyura jamaicensis in Vlaanderen: een aanwinst ? Natuur.oriolus
 76(1):1-7; Hughes B., J. Criado, S. Delany, U. Gallo-Orsi, A.J. Green, M. Grussu, C. Perennou & J.A. Torres, 1999. The status of the North American Ruddy Duck Oxyura jamaicensis in the
 Western Palearctic: towards an action plan for eradication. Council of Europe Publication T-PVS/Birds (99) 9. Council of Europe Publishing, Strasbourg",,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Oxyura jamaicensis (Gmelin, 1789)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,species,ICZN,Wallonia,BE,present,,2018,casual,escape | release | unaided,"introduced into UK in the 1940's, escaped or released from captivity (Hughes et al 1999)",North America,freshwater,"Spanoghe et al. 2010. Broedende Rosse Stekelstaarten Oxyura jamaicensis in Vlaanderen: een aanwinst ? Natuur.oriolus
 76(1):1-7; Hughes B., J. Criado, S. Delany, U. Gallo-Orsi, A.J. Green, M. Grussu, C. Perennou & J.A. Torres, 1999. The status of the North American Ruddy Duck Oxyura jamaicensis in the
 Western Palearctic: towards an action plan for eradication. Council of Europe Publication T-PVS/Birds (99) 9. Council of Europe Publishing, Strasbourg",,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Oxyura vittata (Philippi, 1860)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,species,ICZN,Flanders,BE,present,2014,,casual,escape,"1 occurrence in GBIF in Flanders in 2014, http://waarnemingen.be",South America,freshwater,observations.be,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Plectropterus gambensis (Linnaeus, 1766)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Plectropterus,species,ICZN,,BE,present,,,,,"4 occurrences in GBIF, one in 2000 and 3 in 2016",Africa,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Pteronetta hartlaubii (Cassin, 1860)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Pteronetta,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF 2016, http://waarnemingen.be",Africa,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Sarkidiornis melanotos (Pennant, 1769)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Sarkidiornis,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Tadorna cana (Gmelin, 1789)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Tadorna ferruginea (Pallas, 1764)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,species,ICZN,Flanders,BE,present,1880,,,,,Asia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Tadorna tadornoides (Jardine & Selby, 1828)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Tadorna variegata (Gmelin, 1789)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,species,ICZN,,BE,present,,,,,,New Zealand,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Bucorvus leadbeateri (Vigors, 1825)",Animalia,Chordata,Aves,Bucerotiformes,Bucorvidae,Bucorvus,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Dromaius novaehollandiae (Latham, 1790)",Animalia,Chordata,Aves,Casuariformes,Dromaiidae,Dromaius,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2016, http://waarnemingen.be ; occurrences in 2018 in http://observations.be",Australia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Vanellus armatus (Burchell, 1822)",Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Vanellus miles (Boddaert, 1783)",Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Vanellus spinosus (Linnaeus, 1758)",Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Pluvianus aegyptius (Linnaeus, 1758)",Animalia,Chordata,Aves,Charadriiformes,Pluvianidae,Pluvianus,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Himantopus mexicanus (Statius Muller, 1776)",Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,species,ICZN,,BE,present,,,,,,America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Leptoptilos crumenifer (Lesson, 1831)",Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2002, unverified, http://waarnemingen.be",Africa,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Anastomus lamelligerus Temminck, 1823",Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Anastomus,species,ICZN,,BE,present,,,,,"records form 2018, GBIF and http://observations.be",Africa,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,observations.be Natagora
"Mycteria ibis (Linnaeus, 1766)",Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Columba livia Gmelin, 1789",Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,species,ICZN,,BE,present,,,,,"extant, resident (native) in belgium acc. to IUCN red list",Europe,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Geopelia cuneata (Latham, 1802)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Geopelia,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Ocyphaps lophotes (Temminck, 1822)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Ocyphaps,species,ICZN,,BE,present,,,,,"3 occurrences in GBIF, 2012, 2014 and 2016; http://waarnemingen.be",Australia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Oena capensis (Linnaeus, 1766)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Oena,species,ICZN,,BE,present,,,,,,Sub-Saharan Africa | Madagascar,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Streptopelia risoria (Linnaeus, 1758)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Streptopelia roseogrisea (Sundevall, 1857)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,species,ICZN,,BE,present,,,,,"8 occurrences in GBIF, 1975 to 2016; http://waarnemingen.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Streptopelia senegalensis (Linnaeus, 1766)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,species,ICZN,,BE,present,,,,,"2 occurrences in GBIF, 2013 and 2015; http://waarnemingen.be",Africa | Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Streptopelia tranquebarica (Hermann, 1804)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2015, unverified; http://waarnemingen.be",Southeastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Streptopelia lugens (Rüppell, 1837)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,species,ICZN,,BE,present,,,,,"2 occurrences in 2016 and 2017, http://observations.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,observations.be Natagora
"Ceryle rudis (Linnaeus, 1758)",Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Ceryle,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Dacelo novaeguineae (Hermann, 1783)",Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Dacelo,species,ICZN,Flanders,BE,present,2005,2009,reproducing,escape,,Australia,terrestrial,"Verbelen D. 2009 Gewone Kookaburra Dacelo novaeguineae, exoot de pas afgesneden. Natuur. Oriolus, 75(2):49-52.",,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Coracias abyssinicus Hermann, 1783",Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Caracara cheriway (Jacquin, 1784)",Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,species,ICZN,,BE,present,,,,,,South America | Central America,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Falco biarmicus Temminck, 1825",Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
