scientific name,kingdom,class,order,family,genus,specificEpithet,infraspecificEpithet,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
Falco sparverius,Animalia,Aves,Falconiformes,Falconidae,Falco,sparverius,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Falco cherrug J.E.Gray, 1834",Animalia,Aves,Falconiformes,Falconidae,Falco,cherrug,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Phoeniconaias minor (É.Geoffroy Saint-Hilaire, 1798)",Animalia,Aves,Phoenicopteriformes,Phoenicopteridae,Phoeniconaias,minor,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
Phoenicopterus ruber,Animalia,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,ruber,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Phoenicopterus chilensis Molina, 1782",Animalia,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,chilensis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Phalacrocorax auritus (Lesson, 1831)",Animalia,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Ciconia nigra (Linnaeus, 1758)",Animalia,Aves,Ciconiiformes,Ciconiidae,Ciconia,nigra,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Mycteria ibis (Linnaeus, 1766)",Animalia,Aves,Ciconiiformes,Ciconiidae,Mycteria,ibis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Leptoptilos crumeniferus (Lesson, 1831)",Animalia,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,crumeniferus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Corvus splendens Vieillot, 1817",Animalia,Aves,Passeriformes,Corvidae,Corvus,splendens,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Corvus albus Statius Muller, 1776",Animalia,Aves,Passeriformes,Corvidae,Corvus,albus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Chrysomus icterocephalus (Linnaeus, 1766)",Animalia,Aves,Passeriformes,Icteridae,Chrysomus,icterocephalus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Quiscalus major (Viellot, 1819)",Animalia,Aves,Passeriformes,Emberizidae,Quiscalus,major,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Bombycilla japonica (Siebold, 1824)",Animalia,Aves,Passeriformes,Bombycillidae,Bombycilla,japonica,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Vidua macroura (Pallas, 1764)",Animalia,Aves,Passeriformes,Viduidae,Vidua,macroura,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Pycnonotus cafer (Linnaeus, 1766)",Animalia,Aves,Passeriformes,Pycnonotidae,Pycnonotus,cafer,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
