taxonID,description,type
alien-birds-checklist:taxon:585184104201904ddcf480bbd3198dec,Western Africa,native range
alien-birds-checklist:taxon:585184104201904ddcf480bbd3198dec,Middle Africa,native range
alien-birds-checklist:taxon:585184104201904ddcf480bbd3198dec,Eastern Africa,native range
alien-birds-checklist:taxon:585184104201904ddcf480bbd3198dec,Southern Africa (WGSRPD:27),native range
alien-birds-checklist:taxon:59c7d9247128d6293a77e6e39edd2fc9,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:5bcfa8ae9dbc0082beab0e9b71dde4e0,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:5cd91ceb822db9245f0f7a5a7b9f6312,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:5cd91ceb822db9245f0f7a5a7b9f6312,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:5cd91ceb822db9245f0f7a5a7b9f6312,reproducing (blackburn_2011:C2),degree of establishment
alien-birds-checklist:taxon:5dc7c4c12541e9539a11ffa1e81a5c3c,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:5dc7c4c12541e9539a11ffa1e81a5c3c,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:5dc7c4c12541e9539a11ffa1e81a5c3c,casual (blackburn_2011:C1),degree of establishment
alien-birds-checklist:taxon:5fb14711fa575faae9908aa6df34a62d,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:6003e1b27c47844a7b6054b7a0187faf,Sub-Saharan Africa,native range
alien-birds-checklist:taxon:6003e1b27c47844a7b6054b7a0187faf,Madagascar (WGSRPD:MDG),native range
alien-birds-checklist:taxon:61e2a8b6480caf09ac4fb7b4143559af,Southern Asia,native range
alien-birds-checklist:taxon:61e2a8b6480caf09ac4fb7b4143559af,Southeastern Asia,native range
alien-birds-checklist:taxon:663de58cd8194f2888b2a358f892ac8a,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:663de58cd8194f2888b2a358f892ac8a,Central Asia,native range
alien-birds-checklist:taxon:66c1f7fd6a7e1128ee5b7f1ad9e818a7,Asia,native range
alien-birds-checklist:taxon:66c1f7fd6a7e1128ee5b7f1ad9e818a7,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:69a988b073d293d6fe1a6586414a8a7e,Southern Asia,native range
alien-birds-checklist:taxon:69a988b073d293d6fe1a6586414a8a7e,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:6c4987dea35147c66070d9b61ac7cd5d,Hawaiian Islands (WGSRPD:HI),native range
alien-birds-checklist:taxon:6c6b69d1713d194ea95ba171fd8f136e,Western Africa,native range
alien-birds-checklist:taxon:6c6b69d1713d194ea95ba171fd8f136e,Eastern Africa,native range
alien-birds-checklist:taxon:6c6b69d1713d194ea95ba171fd8f136e,Middle Africa,native range
alien-birds-checklist:taxon:6e687487aa52240cc0c1d74265d754d7,Southeastern Asia,native range
alien-birds-checklist:taxon:6e687487aa52240cc0c1d74265d754d7,casual (blackburn_2011:C1),degree of establishment
alien-birds-checklist:taxon:70fbfea7585d9116b4555f282b6c9e02,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:732e78679135215b296881e14066766b,Southern Asia,native range
alien-birds-checklist:taxon:732e78679135215b296881e14066766b,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:73abc41ffad72f1e08413bf36fa270e9,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:73d8e5a9baaa52af273de45b685117dd,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:742f3c0ecea03c23094892b84ed8250a,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:74d7dbf67b614afd7dfcd32369862761,Eastern Africa,native range
alien-birds-checklist:taxon:75299c560c27d6e11ec199632d358d54,Eastern Asian Russia,native range
alien-birds-checklist:taxon:77169d77b78c8ec30ea02560fc8eeff8,Spain (WGSRPD:SPA),native range
alien-birds-checklist:taxon:77169d77b78c8ec30ea02560fc8eeff8,Portugal (WGSRPD:POR),native range
alien-birds-checklist:taxon:788a4c479684804641706e3c243754fc,Palearctic,native range
alien-birds-checklist:taxon:7d0bdcc0478cd5645652952e43e3767f,Southeastern Europe (WGSRPD:13),native range
alien-birds-checklist:taxon:7d18fa8cfb6bb923740a9f41c2da89e6,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:7d18fa8cfb6bb923740a9f41c2da89e6,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:7df78822c896b79fd3bdc7f02fc14fda,Indonesia (WGSRPD:ID),native range
alien-birds-checklist:taxon:7fbf98ba9013500c6c850cc90cb0c7ef,Australia (WGSRPD:50),native range
